Price List ID,Price List Name,Product Name,Variant ID,SKU,Qty  Band 1,Price 1,Qty Band 2,Price 2,Qty Band 3,Price 3
16,Distributor UK Single,Serenity Waffle Couch Cover 350gsm,1913,TSE+ : TSETRXL04,1,29.02,5,29.02,8,29.02
16,Distributor UK Single,Serenity Waffle Couch Cover 350gsm,1914,TSE+ : TSETRXL08,1,29.02,5,29.02,8,29.02
16,Distributor UK Single,Serenity Waffle Couch Cover 350gsm,1915,TSE+ : TSETRXL16,1,29.02,5,29.02,8,29.02
16,Distributor UK Single,Serenity Waffle Couch Cover 350gsm,1916,TSE+ : TSETRXL19,,,,,,
16,Distributor UK Single,Serenity Waffle Couch Cover 350gsm,1917,TSE+ : TSETRXL35,1,29.02,5,29.02,8,29.02
16,Distributor UK Single,Serenity Waffle Couch Cover 350gsm,1918,TSE+ : TSETRXLHH01,1,27.22,5,27.22,8,27.22
16,Distributor UK Single,Serenity Waffle Couch Cover 350gsm,1919,TSE+ : TSETRXLHH03,1,30.04,5,30.04,8,30.04
16,Distributor UK Single,Serenity Waffle Couch Cover 350gsm,1920,TSE+ : TSETRXLHH04,1,30.04,5,30.04,8,30.04
16,Distributor UK Single,Serenity Waffle Couch Cover 350gsm,1921,TSE+ : TSETRXLHH08,1,30.04,5,30.04,8,30.04
16,Distributor UK Single,Serenity Waffle Couch Cover 350gsm,1922,TSE+ : TSETRXLHH16,1,30.04,5,30.04,8,30.04
16,Distributor UK Single,Serenity Waffle Couch Cover 350gsm,1923,TSE+ : TSETRXLHH19,,,,,,
16,Distributor UK Single,Serenity Waffle Couch Cover 350gsm,1924,TSE+ : TSETRXLHH35,1,30.04,5,30.04,8,30.04
16,Distributor UK Single,SmartKnit�� Towels 45,1934,TSK : TSK450FC01,1,0.69,108,0.69,216,0.63
16,Distributor UK Single,SmartKnit�� Towels 45,1935,TSK : TSK450HO01,1,1.69,10,1.69,100,1.54
16,Distributor UK Single,SmartKnit�� Towels 45,1936,TSK : TSK450BS16,1,12.92,5,12.92,20,12.92
16,Distributor UK Single,SmartKnit�� Towels 45,1937,TSK : TSK450BS35,1,12.92,5,12.92,20,12.92
16,Distributor UK Single,SmartKnit�� Towels 45,1938,TSK : TSK450BS501,1,7.88,5,7.88,20,7.88
16,Distributor UK Single,SmartKnit�� Towels 45,1939,TSK : TSK450BT01,1,4.4,5,4.4,36,4.4
16,Distributor UK Single,SmartKnit�� Towels 45,1940,TSK : TSK450BT16,1,6.76,5,6.76,36,6.76
16,Distributor UK Single,SmartKnit�� Towels 45,1941,TSK : TSK450BT35,1,6.76,5,6.76,36,6.76
16,Distributor UK Single,SmartKnit�� Towels 45,1942,TSK : TSK450HT01,1,2.83,5,2.83,60,2.83
16,Distributor UK Single,SmartKnit�� Towels 45,1943,TSK : TSK450HT35,1,3.38,5,3.38,60,3.38
16,Distributor UK Single,SmartKnit�� Towels 45,1944,TSK : TSK450HT16,1,3.38,5,3.38,60,3.38
16,Distributor UK Single,SupremeSoft Face Cradle Covers For Couches,1950,TSUP++ : TSUPC01,,,,,,
16,Distributor UK Single,SupremeSoft Face Cradle Covers For Couches,1951,TSUP++ : TSUPC16,,,,,,
16,Distributor UK Single,SupremeSoft�� Couch Co,1955,TSUP : TSUPCCF01,1,36.57,5,36.57,8,36.57
16,Distributor UK Single,SupremeSoft�� Couch Co,1956,TSUP : TSUPCCF16,1,46.24,5,46.24,8,46.24
16,Distributor UK Single,SupremeSoft�� Couch Co,1957,TSUP : TSUPCCF35,1,46.24,5,46.24,8,46.24
16,Distributor UK Single,SupremeSoft�� Couch Co,1958,TSUP : TSUPCCFHH01,1,38.19,5,38.19,8,38.19
16,Distributor UK Single,SupremeSoft�� Couch Co,1959,TSUP : TSUPCCFHH16,1,48.32,5,48.32,8,48.32
16,Distributor UK Single,SupremeSoft�� Couch Co,1960,TSUP : TSUPCCFHH35,1,48.32,5,48.32,8,48.32
16,Distributor UK Single,Non Woven Spa Bag,1961,NWCBAGPL,,,,,,
16,Distributor UK Single,SupremeSoft�� Jumbo Sh,1963,TSUP. : TSUPJS13,1,14.13,5,14.13,20,12.84
16,Distributor UK Single,SupremeSoft�� Jumbo Sh,1964,TSUP. : TSUPJSHH13,1,16.79,5,16.79,20,15.26
16,Distributor UK Single,SupremeSoft�� Jumbo Sh,1965,TSUP. : TSUPJS01,1,13.24,5,13.24,20,13.24
16,Distributor UK Single,SupremeSoft�� Jumbo Sh,1966,TSUP. : TSUPJS16,1,14.13,5,14.13,20,14.13
16,Distributor UK Single,SupremeSoft�� Jumbo Sh,1967,TSUP. : TSUPJS35,1,14.13,5,14.13,20,14.13
16,Distributor UK Single,SupremeSoft�� Jumbo Sh,1968,TSUP. : TSUPJSHH01,1,14.61,5,14.61,20,14.61
16,Distributor UK Single,SupremeSoft�� Jumbo Sh,1969,TSUP. : TSUPJSHH16,1,16.79,5,16.79,20,16.79
16,Distributor UK Single,SupremeSoft�� Jumbo Sh,1970,TSUP. : TSUPJSHH35,1,16.79,5,16.79,20,16.79
16,Distributor UK Single,Sporty Waffle Bathrobe 220gsm,1981,BSP : BSPBL01,,,,,,
16,Distributor UK Single,Sporty Waffle Bathrobe 220gsm,1982,BSP : BSPXL01,1,16.89,5,16.89,20,16.89
16,Distributor UK Single,Elegance Luxury Velour Bathrobe No Hood 400gsm,2017,BVE : BELBL01,,,,,,
16,Distributor UK Single,Elegance Luxury Velour Bathrobe No Hood 400gsm,2018,BVE : BELNHXL01,1,33.88,5,33.88,8,33.88
16,Distributor UK Single,Elegance Luxury Velour Bathrobe No Hood 400gsm,2019,BVE : BELNHM01,1,33.88,5,33.88,8,33.88
16,Distributor UK Single,Elegance Luxury Velour Bathrobe With Hood 400gsm,2021,BVEPLW : BELWHM01,1,34.99,5,34.99,8,34.99
16,Distributor UK Single,Elegance Luxury Velour Bathrobe With Hood 400gsm,2022,BVEPLW : BELWHXL01,1,34.99,5,34.99,8,34.99
16,Distributor UK Single,Velvety Lite Velour Bathrobe 350gsm,2024,BVL : BVLM01,1,24.63,5,24.63,12,24.63
16,Distributor UK Single,Velvety Lite Velour Bathrobe 350gsm,2025,BVL : BVLXL01,1,24.63,5,24.63,12,24.63
16,Distributor UK Single,Comfy White Treatment Bed Makeover Kit - No Head Hole,2026,TMOCO01,,,,,,
16,Distributor UK Single,Organza Bags For Slippers & Flip Flops,2027,ORGBAG,,,,,,
16,Distributor UK Single,SmartKnit�� Head,2029,TSK+ : TSKHB01,1,1.81,10,1.81,,
16,Distributor UK Single,Therapist's Professional Waffle Couch Kit - 2 Jumbo Sheets,2040,TSEMTK : TSEMTKJS01,,,,,,
16,Distributor UK Single,SupremeSoft�� Treatment Bed Makeover,2043,TMOSUP : TMOSUPHH35,,,,,,
16,Distributor UK Single,SupremeSoft�� Treatment Bed Makeover,2044,TMOSUP : TMOSUPN35,,,,,,
16,Distributor UK Single,SupremeSoft�� Treatment Bed Makeover,2045,TMOSUP : TMOSUPN16,,,,,,
16,Distributor UK Single,SupremeSoft�� Treatment Bed Makeover,2046,TMOSUP : TMOSUPHH01,,,,,,
16,Distributor UK Single,SupremeSoft�� Treatment Bed Makeover,2047,TMOSUP : TMOSUPN01,,,,,,
16,Distributor UK Single,Small brushed cotton shoe bag,2048,SHOE BAG WIDE,,,,,,
16,Distributor UK Single,Elegance Bathrobe No Hood Couples Gift set,2050,BVENHGS : BVENHGSM&M01,,,,,,
16,Distributor UK Single,Elegance Bathrobe No Hood Couples Gift set,2051,BVENHGS : BVENHGSM&XL01,,,,,,
16,Distributor UK Single,Elegance Bathrobe No Hood Couples Gift set,2052,BVENHGS : BVENHGSXL&XL01,,,,,,
